MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
-9.99, 1210000, 16/06/2019 03:57:07, 5.022937387624895, 4.0, -19.0, 11137.42, 2056.310930671721, 0.09868750000000001
-9.65, 1220000, 16/06/2019 04:09:18, 5.160184105242759, 4.0, -19.0, 11229.52, 2019.1356738961354, 0.098625
-9.37, 1230000, 16/06/2019 04:21:32, 5.309717506609933, 4.0, -19.0, 11332.83, 2001.3564902585447, 0.09856250000000001
-9.01, 1240000, 16/06/2019 04:33:49, 5.339466265461371, 4.0, -19.0, 11455.59, 1975.0570426952231, 0.0985
-8.72, 1250000, 16/06/2019 04:46:02, 5.4407352444315835, 4.0, -19.0, 11545.9, 1961.3448574893707, 0.09843750000000001
-8.26, 1260000, 16/06/2019 04:58:14, 5.480182478713643, 4.0, -19.0, 11733.54, 1910.0395358211829, 0.098375
-7.8, 1270000, 16/06/2019 05:10:29, 5.447935388750494, 4.0, -19.0, 11872.24, 1812.9657035917694, 0.09831250000000001
-7.64, 1280000, 16/06/2019 05:22:42, 5.536280339722692, 4.0, -19.0, 11904.18, 1812.4396231598996, 0.09825
-7.21, 1290000, 16/06/2019 05:34:57, 5.550306297854201, 5.0, -19.0, 12013.14, 1782.480810668098, 0.09818750000000001
-6.8, 1300000, 16/06/2019 05:47:10, 5.868560300448483, 9.0, -19.0, 12101.57, 1762.4502049987116, 0.098125
-6.28, 1310000, 16/06/2019 05:59:29, 5.84992307641733, 9.0, -19.0, 12243.14, 1697.7576212168801, 0.09806250000000001
-5.75, 1320000, 16/06/2019 06:11:55, 5.95378031170113, 9.0, -19.0, 12352.86, 1656.9494199884316, 0.098
-5.32, 1330000, 16/06/2019 06:24:39, 6.072692977584162, 9.0, -19.0, 12398.71, 1599.5740826545048, 0.09793750000000001
-4.71, 1340000, 16/06/2019 06:37:25, 6.189176035628653, 9.0, -19.0, 12441.48, 1566.4476849228001, 0.097875
